A_0	A_1	R_0	R_1	R_2	R_3	Action	Predict	Error	Fitness	Numer	GACount	SubsumerCount	ActionSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	ActionCount
1	1	#	#	#	0	0	1000.0	0.00	665.20	27	160	23		40.0		9976		3764		0.50		1080.9		578
1	0	#	#	1	#	1	1000.0	0.00	672.43	23	238	20		37.0		9993		187		0.50		851.3		916
0	1	#	0	#	#	1	0.0	0.00	748.93	23	123	25		34.7		9989		3043		0.50		799.1		222
0	1	#	1	#	#	1	1000.0	0.00	634.06	22	177	35		39.4		9995		2610		0.50		866.2		698
0	1	#	0	#	#	0	1000.0	0.00	666.39	19	181	33		43.1		9997		3555		0.50		819.2		597
1	#	#	#	0	0	1	0.0	0.00	684.94	18	132	20		32.7		9996		1652		0.50		589.3		253
#	0	1	#	1	#	1	1000.0	0.00	364.63	17	149	25		46.1		9993		528		0.50		783.0		855
0	0	1	#	#	#	0	0.0	0.00	601.95	17	93	16		31.5		9939		2067		0.50		536.2		263
#	0	1	#	1	#	0	0.0	0.00	563.04	17	143	27		37.7		9981		2261		0.50		641.3		270
1	1	#	#	#	1	0	0.0	0.58	527.89	17	62	6		30.4		9983		3839		0.50		517.2		177
0	0	0	#	#	#	1	0.0	0.00	742.71	16	162	37		29.1		9999		358		0.50		464.3		324
0	0	1	#	#	#	1	1000.0	0.00	652.18	16	199	40		42.4		9973		2233		0.50		678.7		709
0	1	#	1	#	#	0	0.0	0.67	571.62	16	108	2		32.0		9991		2359		0.50		512.5		231
1	0	#	#	0	#	0	1000.0	0.00	779.05	15	201	32		34.5		9971		2641		0.50		517.5		705
#	0	0	#	0	#	1	0.0	0.07	472.70	14	162	23		32.7		9999		115		0.50		456.5		342
0	#	1	1	#	#	1	1000.0	0.00	351.41	14	235	24		47.9		9973		327		0.50		670.5		909
0	0	0	#	#	#	0	1000.0	0.09	604.26	14	35	8		28.7		9988		7389		0.50		402.5		233
#	1	#	0	#	0	0	1000.0	0.00	389.16	13	209	39		49.4		9976		1036		0.50		641.8		842
1	#	#	#	1	1	0	0.0	0.00	458.84	13	86	24		36.0		9974		4204		0.50		467.7		178
0	#	0	0	#	#	0	1000.0	0.02	405.87	11	69	12		43.0		9997		5581		0.50		472.6		411
#	1	#	1	#	1	1	1000.0	0.00	412.24	10	164	22		40.5		9986		1137		0.50		405.1		861
1	1	#	#	#	1	1	1000.0	0.00	569.11	10	165	17		28.2		9986		3116		0.50		281.9		645
1	#	#	#	1	1	1	1000.0	0.00	291.25	9	106	23		36.4		9993		1654		0.50		327.3		773
#	1	#	0	#	0	1	0.0	0.00	401.77	9	64	11		33.2		9996		4869		0.50		299.2		160
1	0	#	#	0	#	1	0.0	1.96	319.31	9	44	0		27.9		9956		5607		0.50		250.9		124
1	#	#	#	0	0	0	1000.0	0.00	285.43	8	124	21		42.1		9971		2572		0.50		337.1		702
1	1	#	#	#	0	1	0.0	7.55	292.55	7	34	0		23.5		9996		6050		0.50		164.3		128
0	#	0	0	#	#	1	0.0	0.00	159.95	7	17	1		34.7		9999		8143		0.50		242.3		63
1	0	#	#	1	#	0	0.0	1.72	418.06	6	101	0		30.6		9981		1142		0.50		183.6		275
#	1	#	1	#	1	0	0.0	0.00	421.19	5	90	14		36.2		9983		3566		0.50		181.2		171
1	0	1	#	0	#	1	0.0	0.00	156.74	5	11	0		24.8		9956		6807		0.67		123.9		33
0	#	1	1	#	#	0	0.0	0.60	296.70	4	121	1		33.2		9991		629		0.50		133.0		291
#	0	0	0	#	#	0	935.5	71.35	27.68	3	4	0		33.9		9974		9583		0.50		101.8		31
#	#	0	#	0	#	0	895.3	176.05	7.18	2	22	0		39.7		9971		8495		0.33		79.4		232
1	#	#	#	#	0	1	511.9	502.96	7.51	2	13	0		32.7		9996		8712		0.33		65.3		119
#	0	1	#	#	#	1	921.1	143.39	5.29	2	7	0		40.9		9993		9493		0.33		989.2		76
0	#	#	1	#	#	1	921.9	131.84	6.41	2	10	0		40.4		9995		9567		0.33		80.7		64
1	#	#	#	#	1	1	916.7	150.38	2.70	2	2	0		31.5		9993		9682		0.33		1491.3		48
