B_0	B_1	B_2	B_3	B_4	B_5	B_6	B_7	B_8	B_9	B_10	Action	Predict	Error	Fitness	Numer	GACount	SubsumerCount	AveActionSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	ActionCount
1	#	1	1	1	#	#	1	#	#	1	1	1000.0	0.00	171.23	16	232	55	270.5	499960	155643	0.5	4328.336823259627	2788
#	0	#	#	#	0	0	0	0	0	#	0	1000.0	0.00	138.83	14	52	12	297.3	499970	352864	0.5	4162.571985929204	1115
#	#	1	1	1	1	1	#	#	#	1	1	1000.0	0.00	100.47	12	258	80	268.4	499960	17274	0.5	3220.2591540532057	3847
#	1	1	1	1	#	1	#	1	#	#	0	0.0	0.00	108.66	12	142	33	294.6	499957	184424	0.5	3535.4920698766427	2446
0	0	#	#	0	0	#	0	#	#	0	1	0.0	0.00	127.62	12	180	52	282.6	499947	245881	0.5	3391.4880949677863	2016
0	#	#	0	#	0	0	0	#	#	0	0	1000.0	0.00	122.18	12	96	21	293.3	499999	281770	0.5	3520.078321145474	1711
#	#	1	1	#	1	1	1	#	#	1	1	1000.0	0.00	115.71	12	10	1	271.1	499960	424064	0.5	3253.495722544239	590
0	0	#	#	#	#	0	0	0	0	#	1	0.0	0.00	124.62	11	260	75	274.0	499879	16541	0.5	3014.2217929827193	3698
#	#	1	1	#	1	1	#	#	1	1	0	0.0	0.00	134.29	11	193	48	306.7	499931	20504	0.5	3373.2746073719927	3717
#	1	1	#	#	1	1	#	1	#	1	0	0.0	0.00	138.16	11	268	67	305.4	499957	50115	0.5	3359.760418346384	3459
#	0	0	0	0	#	#	#	#	0	0	1	0.0	0.00	136.95	11	194	49	293.0	499995	136731	0.5	3223.3706518926438	2845
#	0	0	#	0	#	#	0	0	#	0	1	0.0	0.00	124.28	11	77	19	301.0	499820	331539	0.5	3310.455294110436	1358
#	#	0	#	#	0	0	0	#	0	0	1	0.0	0.00	110.75	10	249	63	276.9	499947	36559	0.5	2769.3979675960945	3598
1	#	#	#	1	1	#	1	1	#	1	1	1000.0	0.00	130.54	10	189	48	269.7	499771	196791	0.5	2696.728911944801	2314
#	1	1	1	#	#	#	1	1	1	#	0	0.0	0.00	128.12	10	143	36	286.4	499989	215340	0.5	2864.105953063535	2180
#	#	1	#	#	#	1	1	1	1	1	1	1000.0	0.00	109.29	10	123	33	270.2	499939	243136	0.5	2702.3735127305454	2024
#	#	0	0	0	0	#	0	#	#	0	1	0.0	0.00	99.99	10	102	25	293.7	499947	259818	0.5	2937.4010193743643	1880
1	1	1	#	#	#	1	1	#	1	#	1	1000.0	0.00	114.93	10	132	26	259.7	499971	271197	0.5	2597.1089345036903	1825
1	#	1	#	1	#	#	1	1	1	#	1	1000.0	0.00	121.90	10	115	28	265.5	499938	304666	0.5	2654.998801601544	1557
1	#	#	1	#	1	1	#	1	#	1	1	1000.0	0.00	96.65	10	72	13	261.4	499840	336707	0.5	2613.638654910248	1285
0	#	0	0	0	0	#	#	#	#	0	1	0.0	0.00	105.30	10	56	16	289.3	499947	384792	0.5	2892.91506425742	912
1	#	1	1	#	#	1	1	#	#	1	0	0.0	0.00	104.07	10	31	8	299.3	499957	409540	0.5	2992.6632740097484	697
#	#	1	1	#	1	#	#	1	1	1	1	1000.0	0.00	127.60	9	302	75	273.5	499873	4606	0.5	2461.179346430886	3867
0	#	0	#	0	0	0	#	0	#	#	0	1000.0	0.00	126.11	9	229	52	289.2	499932	69733	0.5	2602.700535821974	3420
0	#	#	0	0	#	0	0	#	0	#	0	1000.0	0.00	97.99	9	170	42	287.3	499999	155705	0.5	2586.135207592041	2734
#	1	1	1	#	1	#	1	#	#	1	0	0.0	0.00	91.13	9	125	29	300.2	499989	211646	0.5	2701.8486298945845	2198
0	0	#	#	0	0	#	#	0	#	0	0	1000.0	0.00	109.68	9	150	36	286.8	499970	261634	0.5	2581.239377880691	1854
#	0	#	0	#	0	#	0	0	0	#	0	1000.0	0.00	90.76	9	65	20	295.8	499970	323957	0.5	2662.175670727981	1314
1	#	1	#	#	#	#	1	1	1	1	1	1000.0	0.00	106.99	9	56	23	262.4	499939	335033	0.5	2361.6135574898344	1271
1	#	1	#	1	1	1	#	1	#	#	0	0.0	0.00	101.35	9	41	10	303.1	499957	394164	0.5	2727.901847673538	854
1	1	1	#	#	1	#	#	1	1	#	1	1000.0	0.00	43.41	9	2	0	263.2	499949	433821	0.5	2368.4960317561868	530
0	0	#	#	0	#	0	0	#	0	#	0	1000.0	0.00	49.68	9	12	0	295.9	499970	435379	0.5	2663.268735991443	522
0	0	#	#	0	0	#	0	#	0	#	0	1000.0	0.00	90.69	8	301	80	299.1	499970	54271	0.5	2392.4290448245256	3517
#	1	#	#	#	1	#	1	1	1	1	0	0.0	0.00	106.16	8	234	64	299.4	499989	69815	0.5	2395.4987531192387	3366
1	1	#	#	1	#	1	1	#	1	#	0	0.0	0.00	102.39	8	191	45	294.4	499902	93173	0.5	2355.131232922138	3144
#	#	0	0	0	0	#	0	#	0	#	1	0.0	0.00	119.37	8	150	41	293.2	499982	210340	0.5	2345.3357765931178	2251
#	#	1	1	1	1	#	1	#	#	1	0	0.0	0.00	99.27	8	128	31	295.0	499989	217567	0.5	2360.192908223345	2183
0	#	0	0	#	#	#	#	0	0	0	0	1000.0	0.00	100.58	8	109	27	280.1	499950	241541	0.5	2241.1014645605064	2025
0	0	0	#	0	#	#	#	0	#	0	1	0.0	0.00	98.09	8	109	31	281.9	499925	263779	0.5	2254.9425357958125	1878
#	1	1	1	#	#	1	#	1	1	#	0	0.0	0.00	113.90	8	114	17	299.0	499931	294747	0.5	2392.1453870490445	1597
0	0	0	#	#	#	#	0	#	0	0	1	0.0	0.00	91.36	8	56	14	285.0	499947	340834	0.5	2279.8039095005975	1231
#	1	1	1	1	#	#	1	#	1	#	1	1000.0	0.00	129.42	8	46	12	273.3	499938	394783	0.5	2186.6637024472225	838
#	1	1	1	1	#	1	#	#	1	#	0	0.0	0.00	91.25	8	32	3	295.5	499909	397473	0.5	2364.1490979687396	801
#	1	1	#	1	#	#	1	1	1	#	1	1000.0	0.00	80.48	8	28	1	273.5	499938	428409	0.5	2187.7310942423132	586
